"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Sexo ","","",
"Femenino ","301 ","48.5 ",
"Masculino ","319 ","515 ",
"Grupo de edad (afios) ","","",
"- 10 ","5 ","0.8 ",
"- 10-19 ","22 ","3.6 ",
"- 20-29 ","75 ","12.2 ",
"30-39 ","91 ","14.7 ",
"- 40-49 ","107 ","17.3 ",
"50-59 ","147 ","23.8 ",
"60-69 ","95 ","15.4 ",
"70-79 ","49 ","7.9 ",
"2 80 ","26 ","4.2 ",
"No disponible ","3 ","",
"Promediotd.e. ","48.5 ","17.9 ",
"Rango ","0.0 ","95.0 ",
"Mediana ","50.0 ","",
"Region de residencia ","","",
"Arecibo ","18 ","5.7 ",
"Bayamon ","61 ","19.4 ",
"Caguas ","45 ","143 ",
"Fajardo ","9 ","2.9 ",
"Mayagiez ","46 ","14.6 ",
"Metro ","108 ","34.3 ",
"Ponce ","28 ","8.9 ",
"EEUU. ","4 ","",
"No disponible ","301 ","",
