"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Sexo ","","",
"Femenino ","329 ","48.2 ",
"Masculino ","354 ","51.8 ",
"Grupo de edad (afos) ","","",
"10 ","S ","0.7 ",
"10-19 ","24 ","3.5 ",
"20-29 ","88 ","12.9 ",
"30-39 ","104 ","15.3 ",
"40-49 ","118 ","17.4 ",
"50-59 ","159 ","23.4 ",
"60-69 ","102 ","15.0 ",
"70-79 ","$4 ","7.9 ",
"2 80 ","26 ","3.8 ",
"No disponible ","3 ","",
"Promediotd.e ","48.0 ","17.9 ",
"Rango ","0.0 ","95.0 ",
"Mediana ","50.0 ","",
"Region de residencia ","","",
"Arecibo ","21 ","6.1 ",
"Bayamon ","68 ","19.6 ",
"Caguas ","49 ","14.1 ",
"Fajardo ","9 ","2.6 ",
"Mayaguez ","52 ","15.0 ",
"Metro ","117 ","33.7 ",
"Ponce ","31 ","8.9 ",
"EE.UU. ","4 ","",
"No disponible ","332 ","",
