"Caracteristica ","Frecuencia (n) ","Porclento (%) ",
"Municipios de residencia ","","",
"Aguada ","1 ","0.3 ",
"Aguadilla ","2 ","0.6 ",
"Aguas Buenas ","8 ","2.3 ",
"Aibonito ","3 ","0.9 ",
"Anasco ","4 ","1.2 ",
"Arecibo ","7 ","2.0 ",
"Barranquitas ","3 ","0.9 ",
"Bayamon ","26 ","7.9 ",
"Cabo Rojo ","7 ","2.0 ",
"Caguas ","20 ","5.8 ",
"Camuy ","1 ","0.3 ",
"Canovanas ","3 ","0.9 ",
"Carolina ","22 ","6.3 ",
"Catano ","4 ","1.2 ",
"Cayey ","2 ","0.6 ",
"Ceiba ","3 ","0.9 ",
"Cidra ","4 ","1.2 ",
"Corozal ","2 ","0.6 ",
"Dorado ","7 ","2.0 ",
"Gulnica ","2 ","0.6 ",
"Guayama ","1 ","0.3 ",
"Guaynabo ","29 ","8.4 ",
"Gurabo ","3 ","0.9 ",
"Hatillo ","3 ","0.9 ",
"Hormigueros ","4 ","1.2 ",
"Humacao ","1 ","0.3 ",
"tsabela ","5 ","1.4 ",
"Juana Diaz ","12 ","3.5 ",
"Juncos ","1 ","0.3 ",
"Lajas ","1 ","0.3 ",
"Lares ","1 ","0.3 ",
"Las Piedras ","2 ","0.6 ",
"Loiza ","1 ","0.3 ",
"Luquillo ","4 ","1.2 ",
"Manati ","2 ","0.6 ",
"Maunabo ","2 ","0.6 ",
"Mayaguez ","14 ","4.0 ",
"Moca ","1 ","0.3 ",
"Morovis ","1 ","0.3 ",
"Naranjito ","3 ","0.9 ",
"Orocovis ","1 ","0.3 ",
"Ponce ","7 ","2.0 ",
"Quebradillas ","2 ","0.6 ",
"Rincon ","1 ","0.3 ",
"Rio Grande ","2 ","0.6 ",
"Sabana Grande ","3 ","0.9 ",
"Salinas ","1 ","0.3 ",
"San Germin ","4 ","1.2 ",
"San Juan ","S4 ","15.6 ",
"San Lorenzo ","2 ","0.6 ",
"San Sebastiin ","5 ","1.4 ",
"Toa Alta ","8 ","2.3 ",
"Toa Baja ","10 ","2.9 ",
"Trujillo Alto ","7 ","2.0 ",
"Vega Alta ","6 ","1.7 ",
"Vega 8aja ","3 ","0.9 ",
"Villalba ","1 ","0.3 ",
"Yabucoa ","1 ","0.3 ",
"Yauco ","7 ","2.0 ",
"Nueva York ","4 ","",
