"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Municipios de residencia ","","",
"Aguada ","2 ","0.5 ",
"Aguadilla ","3 ","0.8 ",
"Aguas Buenas ","8 ","2.0 ",
"Aibonito ","3 ","0.8 ",
"Afasco ","4 ","1.0 ",
"Arecibo ","7 ","1.8 ",
"Barranquitas ","4 ","1.0 ",
"Bayamon ","29 ","7.3 ",
"Cabo Rojo ","7 ","1.8 ",
"Caguas ","20 ","5.1 ",
"Camuy ","1 ","0.3 ",
"Canovanas ","3 ","0.8 ",
"Carolina ","27 ","6.8 ",
"Catafo ","4 ","1.0 ",
"Cayey ","2 ","0.5 ",
"Ceiba ","3 ","0.8 ",
"Cidra ","5 ","1.3 ",
"Corozal ","2 ","0.5 ",
"Dorado ","7 ","1.8 ",
"Guanica ","4 ","1.0 ",
"Guayama ","1 ","0.3 ",
"Guaynabo ","30 ","7.6 ",
"Gurabo ","4 ","1.0 ",
"Hatillo ","5 ","1.3 ",
"Hormigueros ","5 ","1.3 ",
"Humacao ","1 ","0.3 ",
"Isabela ","","1.3 ",
"Juana Diaz ","13 ","3.3 ",
"Juncos ","1 ","0.3 ",
"Lajas ","1 ","0.3 ",
"Lares ","2 ","0.5 ",
"Las Piedras ","2 ","0.5 ",
"Loiza ","2 ","0.5 ",
"Luquillo ","4 ","1.0 ",
"Manati ","2 ","0.5 ",
"Maunabo ","2 ","0.5 ",
"Mayaguez ","15 ","3.8 ",
"Moca ","1 ","0.3 ",
"Morovis ","1 ","0.3 ",
"Naguabo ","1 ","0.3 ",
"Naranjito ","3 ","0.8 ",
"Orocovis ","1 ","0.3 ",
"Ponce ","8 ","2.0 ",
"Quebradillas ","9 ","2.3 ",
"Rincon ","1 ","0.3 ",
"Rio Grande ","2 ","0.5 ",
"Sabana Grande ","3 ","0.8 ",
"Salinas ","1 ","0.3 ",
"San German ","4 ","1.0 ",
"San Juan ","60 ","15.2 ",
"San Lorenzo ","2 ","0.5 ",
"San Sebastian ","7 ","1.8 ",
"Santa Isabel ","1 ","0.3 ",
"Toa Alta ","8 ","2.0 ",
"Toa Baja ","12 ","3.0 ",
"Trujillo Alto ","12 ","3.0 ",
"Vega Alta ","7 ","1.8 ",
"Vega Baja ","3 ","0.8 ",
"Villalba ","1 ","0.3 ",
"Yabucoa ","1 ","0.3 ",
"Yauco ","7 ","1.8 ",
"Nueva York ","5 ","",
"No disponible ","324 ","",
