"Caracteristica ","Frecuencia (n) ","Porciento (% ",
"Sexo ","","",
"Femenino ","376 ","47.7 ",
"Masculino ","412 ","52.3 ",
"Grupo de edad (afos) ","","",
"10 ","7 ","0.9 ",
"10-19 ","25 ","3.2 ",
"20-29 ","105 ","13.4 ",
"30-39 ","116 ","14.8 ",
"40-49 ","138 ","17.6 ",
"50-59 ","178 ","22.7 ",
"60-69 ","119 ","15.2 ",
"70-79 ","60 ","7.7 ",
"2 80 ","35 ","4.5 ",
"No disponible ","s ","",
"Promediotd.e. ","48.3 ch ","18.1 ",
"Rango ","0.0 ","95.0 ",
"Mediana ","50.0 ","",
"Region de residencia ","","",
"Arecibo ","34 ","8.1 ",
"Bayamon ","80 ","19.0 ",
"Caguas ","SS ","13.0 ",
"Fajardo ","10 ","2.4 ",
"Mayaguez ","64 ","15.2 ",
"Metro ","139 ","32.9 ",
"Ponce ","40 ","9.5 ",
"EEUU. ","5 ","",
"a No disponible ","361 ","",
