"Municipios de residencia ","","",
"Aguada ","2 ","0.5 ",
"Aguadilla ","3 ","0.7 ",
"Aguas Buenas ","S ","1.9 ",
"Albonito ","3 ","0.7 ",
"Alasco ","s ","1.2 ",
"Arecibo ","9 ","2.1 ",
"Barranquitas ","4 ","0.9 ",
"Bayamon ","30 ","7.1 ",
"Cabo Rojo ","7 ","1.7 ",
"Caguas ","20 ","4.7 ",
"Camuy ","11 ","0.2 ",
"Canovanas ","3 ","0.7 ",
"Carolina ","27 ","6.4 ",
"Catallo ","4 ","0.9 ",
"Cayey ","2 ","O.s ",
"Ceiba ","3 ","0.7 ",
"Cidra ","S ","1.2 ",
"Corozal ","2 ","0.5 ",
"Dorado ","8 ","1.9 ",
"Guanica ","4 ","0.9 ",
"Guayama ","1 ","0.2 ",
"Guaynabo ","32 ","7.6 ",
"Gurabo ","5 ","1.2 ",
"Hatillo ","5 ","1.2 ",
"Hormigueros ","6 ","1.4 ",
"Humacao ","1 ","0.2 ",
"Isabela ","6 ","1.4 ",
"Juana Diaz ","13 ","3.1 ",
"Juncos ","1 ","0.2 ",
"Lajas ","1 ","0.2 ",
"Lares ","2 ","0.5 ",
"Las Piedras ","3 ","0.7 ",
"toiza ","2 ","0.5 ",
"Luqulllo ","4 ","0.9 ",
"Manati ","2 ","0.5 ",
"Maunabo ","2 ","O.5 ",
"Mayaguez ","16 ","3.8 ",
"Moca ","1 ","0.2 ",
"Morovis ","1 ","0.2 ",
"Naguabo ","1 ","0.2 ",
"Naranjito ","3 ","0.7 ",
"Orocovis ","1 ","0.2 ",
"Patillas ","2 ","0.5 ",
"Ponce ","9 ","2.1 ",
"Quebradillas ","10 ","2.4 ",
"Rincon ","1 ","0.2 ",
"Rio Grande ","3 ","0.7 ",
"Sabana Grande ","4 ","0.9 ",
"Salinas ","1 ","0.2 ",
"San German ","6 ","1.4 ",
"San Juan ","63 ","14.9 ",
"San Lorenzo ","2 ","0.5 ",
"San Sebastian ","6 ","1.4 ",
"Santa Isabel ","1 ","0.2 ",
"Toa Alta ","9 ","2.1 ",
"Toa Baja ","12 ","2.8 ",
"Trujillo Alto ","13 ","3.1 ",
"Vega Alta ","7 ","1.7 ",
"Vega Baja ","3 ","0.7 ",
"Villalba ","1 ","0.2 ",
"Yabucoa ","2 ","0.5 ",
"Yauco ","8 ","1.9 ",
"Nueva York ","S ","",
"","","",
