"Grupo de edad ","","Femenino ","","Masculino ","","Total ",
"(anos) ","n ","% ","n ","% ","n ","% ",
"< 10 ","3 ","0.7 ","6 ","1.3 ","9 ","1.0 ",
"10-19 ","15 ","3.5 ","15 ","3.2 ","30 ","3.4 ",
"20-29 ","63 ","14.8 ","62 ","13.3 ","125 ","14.0 ",
"30-39 ","70 ","16.5 ","57 ","12.2 ","127 ","14.2 ",
"40-49 ","69 ","16.2 ","96 ","20.6 ","165 ","18.5 ",
"$0-59 ","107 ","25.2 ","94 ","20.1 ","201 ","22.5 ",
"60-69 ","59 ","13.9 ","73 ","15.6 ","132 ","14.8 ",
"70-79 ","21 ","4.9 ","43 ","9.2 ","64 ","7.2 ",
"2 80 ","18 ","4.2 ","21 ","4.5 ","39 ","4.4 ",
"No disponible ","1 ","","4.0 ","","5 ","",
"Total ","426 ","100.0 ","471 ","100.0 ","897 ","100.0 ",
